iter	Recall	Logloss
0	0.001265182186	0.6911889079
1	0.0007591093117	0.6892452988
2	0	0.6873108442
3	0	0.6854674403
4	0	0.6835906706
5	0	0.6818023074
6	0	0.6800316848
7	0	0.6782283338
8	0	0.6764145065
9	0	0.6746195403
10	0	0.6729152166
11	0	0.6711598139
12	0	0.6694319916
13	0	0.66771305
14	0	0.6660201359
15	0	0.6643332628
16	0	0.6626438772
17	0	0.6610663377
18	0	0.6595118771
19	0	0.6578905531
20	0	0.6562945034
21	0	0.6547811488
22	0	0.6532895453
23	0	0.6517426606
24	0	0.6502018087
25	0	0.6487483689
26	0	0.6472482597
27	0	0.6457978303
28	0	0.6443289849
29	0	0.6429442546
30	0	0.6415816876
31	0	0.6402239502
32	0	0.6388201862
33	0	0.6374426299
34	0	0.6360532103
35	0	0.6347490432
36	0	0.6334014556
37	0	0.6321250511
38	0	0.630805769
39	0	0.6295113654
40	0	0.6281970084
41	0	0.6269570418
42	0	0.6256731783
43	0	0.6244813502
44	0	0.6232976468
45	0	0.6220579884
46	0	0.6208662685
47	0	0.6196711906
48	0	0.6184901742
49	0	0.6173631708
50	0	0.6161803241
51	0	0.6150915768
52	0	0.6140027992
53	0	0.6129417647
54	0	0.6118725055
55	0	0.6108220115
56	0	0.6097097065
57	0	0.6086128129
58	0	0.6075284692
59	0	0.6065177065
60	0	0.6054690302
61	0	0.6044484103
62	0	0.6034905441
63	0	0.6025335496
64	0	0.6015293354
65	0	0.6005382198
66	0	0.5995778326
67	0	0.598615556
68	0	0.5976622031
69	0	0.5967163738
70	0	0.5958142847
71	0	0.5949447607
72	0	0.5940221478
73	0	0.5931078602
74	0	0.5921929447
75	0	0.5913500826
76	0	0.5904569321
77	0	0.5896315622
78	0	0.5888186207
79	0	0.5879746619
80	0	0.5871231147
81	0	0.5862848377
82	0	0.5854456709
83	0	0.5846182921
84	0	0.5838523153
85	0	0.5830777841
86	0	0.5822664803
87	0	0.5815305272
88	0	0.5807696115
89	0	0.5799837729
90	0	0.579234798
91	0	0.5785259705
92	0	0.5777699542
93	0	0.5770736753
94	0	0.5763812497
95	0	0.5756520725
96	0	0.5749850199
97	0	0.5742760227
98	0	0.5735809379
99	0	0.5729256648
100	0	0.5722356371
101	0	0.5715988298
102	0	0.5709224685
103	0	0.5703048949
104	0	0.569692219
105	0	0.5690779291
106	0	0.5684267849
107	0	0.5677858134
108	0	0.5671478054
109	0	0.5665269394
110	0	0.5659191577
111	0	0.5653008417
112	0	0.564695651
113	0	0.5641293563
114	0	0.5635334595
115	0	0.5629345741
116	0	0.5623948522
117	0	0.5618207809
118	0	0.5612410981
119	0	0.5607132198
120	0	0.5601594087
121	0	0.559640405
122	0	0.5591237461
123	0	0.5585754937
124	0	0.5580828522
125	0	0.5575500827
126	0	0.5570607365
127	0	0.5565351598
128	0	0.5560149157
129	0	0.5554945666
130	0	0.5549879761
131	0	0.5544869258
132	0	0.5540114
133	0	0.553564419
134	0	0.5530710429
135	0	0.5526234115
136	0	0.5521564305
137	0	0.5517208408
138	0	0.5512872158
139	0	0.5508359854
140	0	0.550386628
141	0	0.5499314042
142	0	0.5494849802
143	0	0.5490851182
144	0	0.5486498223
145	0	0.5482227778
146	0	0.5477974473
147	0	0.5473656856
148	0	0.5469739414
149	0	0.5465504132
150	0	0.5461655238
151	0	0.5458032782
152	0	0.5453947857
