iter	Passed	Remaining
0	167	1670368
1	182	911141
2	196	656020
3	211	527809
4	226	452635
5	237	394770
6	252	361169
7	275	344028
8	292	324629
9	306	306020
10	317	288113
11	331	275594
12	346	266033
13	360	257123
14	376	250860
15	396	247578
16	413	242548
17	427	237265
18	440	231528
19	457	228294
20	470	223371
21	483	219100
22	497	215965
23	512	213118
24	528	210685
25	545	209137
26	560	206951
27	574	204486
28	588	202433
29	599	199231
30	613	197156
31	627	195326
32	640	193337
33	653	191528
34	664	189272
35	678	187715
36	692	186537
37	706	185175
38	721	184357
39	733	182717
40	746	181275
41	760	180287
42	775	179510
43	789	178594
44	802	177603
45	813	175940
46	827	175229
47	841	174385
48	855	173657
49	870	173133
50	883	172341
51	894	171048
52	908	170422
53	923	170039
54	936	169354
55	952	169150
56	970	169251
57	985	168998
58	1030	173570
59	1048	173690
60	1064	173447
61	1084	173887
62	1103	173983
63	1122	174211
64	1137	173874
65	1152	173482
66	1166	172992
67	1179	172323
68	1191	171535
69	1205	170943
70	1218	170435
71	1228	169327
72	1240	168696
73	1254	168326
74	1267	167769
75	1281	167355
76	1293	166708
77	1306	166217
78	1322	166029
79	1336	165713
80	1349	165284
81	1364	165010
82	1374	164192
83	1389	164060
84	1402	163588
85	1416	163335
86	1430	163019
87	1444	162723
88	1464	163121
89	1480	163009
90	1500	163349
91	1519	163696
92	1538	163943
93	1560	164403
94	1579	164700
95	1596	164703
96	1617	165151
97	1631	164850
98	1644	164497
99	1659	164307
100	1671	163810
101	1684	163430
102	1698	163177
103	1710	162731
104	1721	162189
105	1734	161905
106	1748	161684
107	1761	161368
108	1775	161134
109	1787	160747
110	1802	160577
111	1816	160381
112	1829	160110
113	1844	159955
114	1857	159657
115	1867	159166
116	1882	158983
117	1895	158725
118	1909	158580
119	1921	158192
120	1934	157934
121	1947	157647
122	1961	157491
123	1974	157273
124	1985	156865
125	1999	156683
126	2013	156506
127	2025	156211
128	2042	156297
129	2056	156152
130	2067	155793
131	2081	155633
132	2094	155410
133	2109	155285
134	2121	155053
135	2138	155115
136	2157	155292
137	2170	155145
138	2181	154785
139	2195	154618
140	2210	154533
141	2224	154416
142	2237	154262
143	2249	153955
144	2263	153836
145	2275	153594
146	2289	153458
147	2304	153430
148	2318	153260
149	2329	152992
150	2344	152891
151	2349	152206
152	2363	152121
153	2377	152023
154	2392	151984
155	2407	151910
156	2421	151802
157	2435	151698
158	2446	151397
159	2460	151302
160	2477	151382
161	2492	151347
162	2506	151262
163	2519	151135
164	2534	151066
165	2545	150819
166	2559	150711
167	2575	150716
168	2588	150561
169	2602	150466
170	2615	150332
171	2627	150141
172	2641	150069
173	2656	150032
174	2667	149754
175	2678	149489
176	2692	149413
